=== Scan Config  ===
Host      : 34.41.254.80:9000
Protocol  : TCP
Ports     : 500 ports
Timeout   : auto (Max[4RTT | 0.5s])
Delay     : 0.1s
IP option : all
IPv6 Test : Enabled
===================
[Client] Connected to 34.41.254.80:9000
[Client] Server version: 0.1, IPv6: 2600:1900:4000:1746::
[Client] Handshake complete.
[Client] RTT 119ms — timeout set to 0.50s
[Client] IPv6 test: skipped — no public IPv6 on this machine.
[Client] Scan request [57d27f6a]: inbound TCP, 500 ports

  Scan [57d27f6a] — inbound:

  Baseline (no IP options):
    TCP/49215  filtered
    TCP/49503  filtered
    TCP/50612  filtered
    TCP/51717  filtered
    TCP/52225  filtered
    TCP/52503  filtered
    TCP/53571  filtered
    TCP/54281  filtered
    TCP/54321  filtered
    TCP/56141  filtered
    TCP/58002  filtered
    TCP/58631  filtered
    TCP/58640  filtered
    TCP/61370  filtered
    TCP/62287  filtered
    TCP/63555  filtered
    TCP/64513  filtered
    TCP/65024  filtered

  With record_route:
    TCP/1      closed   [was filtered]
    TCP/7      closed   [was filtered]
    TCP/9      closed   [was filtered]
    TCP/13     closed   [was filtered]
    TCP/17     closed   [was filtered]
    TCP/19     closed   [was filtered]
    TCP/21     closed   [was filtered]
    TCP/22     filtered
    TCP/23     closed   [was filtered]
    TCP/25     filtered
    TCP/26     closed   [was filtered]
    TCP/37     closed   [was filtered]
    TCP/38     closed   [was filtered]
    TCP/42     closed   [was filtered]
    TCP/49     closed   [was filtered]
    TCP/53     closed   [was filtered]
    TCP/67     closed   [was filtered]
    TCP/68     closed   [was filtered]
    TCP/69     closed   [was filtered]
    TCP/79     closed   [was filtered]
    TCP/80     closed   [was filtered]
    TCP/81     closed   [was filtered]
    TCP/82     closed   [was filtered]
    TCP/88     closed   [was filtered]
    TCP/100    closed   [was filtered]
    TCP/106    closed   [was filtered]
    TCP/110    closed   [was filtered]
    TCP/111    closed   [was filtered]
    TCP/112    closed   [was filtered]
    TCP/113    closed
    TCP/119    closed   [was filtered]
    TCP/120    closed   [was filtered]
    TCP/123    closed   [was filtered]
    TCP/135    closed   [was filtered]
    TCP/136    closed   [was filtered]
    TCP/137    closed   [was filtered]
    TCP/138    closed   [was filtered]
    TCP/139    closed   [was filtered]
    TCP/143    closed   [was filtered]
    TCP/144    closed   [was filtered]
    TCP/158    closed   [was filtered]
    TCP/161    closed   [was filtered]
    TCP/162    closed   [was filtered]
    TCP/177    closed   [was filtered]
    TCP/179    filtered
    TCP/192    closed   [was filtered]
    TCP/199    closed   [was filtered]
    TCP/217    closed   [was filtered]
    TCP/255    closed   [was filtered]
    TCP/363    closed   [was filtered]
    TCP/389    closed   [was filtered]
    TCP/407    closed   [was filtered]
    TCP/427    closed   [was filtered]
    TCP/434    closed   [was filtered]
    TCP/443    closed   [was filtered]
    TCP/444    closed   [was filtered]
    TCP/445    closed   [was filtered]
    TCP/464    closed   [was filtered]
    TCP/465    closed   [was filtered]
    TCP/497    closed   [was filtered]
    TCP/500    closed   [was filtered]
    TCP/512    closed   [was filtered]
    TCP/513    closed   [was filtered]
    TCP/514    closed   [was filtered]
    TCP/515    closed   [was filtered]
    TCP/517    closed   [was filtered]
    TCP/518    closed   [was filtered]
    TCP/520    closed   [was filtered]
    TCP/539    closed   [was filtered]
    TCP/543    closed   [was filtered]
    TCP/544    closed   [was filtered]
    TCP/548    closed   [was filtered]
    TCP/554    closed   [was filtered]
    TCP/587    closed   [was filtered]
    TCP/593    closed   [was filtered]
    TCP/623    closed   [was filtered]
    TCP/626    closed   [was filtered]
    TCP/631    closed   [was filtered]
    TCP/636    closed   [was filtered]
    TCP/643    closed   [was filtered]
    TCP/646    closed   [was filtered]
    TCP/664    closed   [was filtered]
    TCP/682    closed   [was filtered]
    TCP/683    closed   [was filtered]
    TCP/684    closed   [was filtered]
    TCP/685    closed   [was filtered]
    TCP/686    closed   [was filtered]
    TCP/687    closed   [was filtered]
    TCP/688    closed   [was filtered]
    TCP/767    closed   [was filtered]
    TCP/775    closed   [was filtered]
    TCP/776    closed   [was filtered]
    TCP/780    closed   [was filtered]
    TCP/781    closed   [was filtered]
    TCP/782    closed   [was filtered]
    TCP/786    closed   [was filtered]
    TCP/800    closed   [was filtered]
    TCP/808    closed   [was filtered]
    TCP/829    closed   [was filtered]
    TCP/873    closed   [was filtered]
    TCP/902    closed   [was filtered]
    TCP/959    closed   [was filtered]
    TCP/983    closed   [was filtered]
    TCP/989    closed   [was filtered]
    TCP/990    closed   [was filtered]
    TCP/993    closed   [was filtered]
    TCP/995    closed   [was filtered]
    TCP/996    closed   [was filtered]
    TCP/997    closed   [was filtered]
    TCP/998    closed   [was filtered]
    TCP/999    closed   [was filtered]
    TCP/1000   closed   [was filtered]
    TCP/1001   closed   [was filtered]
    TCP/1008   closed   [was filtered]
    TCP/1012   closed   [was filtered]
    TCP/1014   closed   [was filtered]
    TCP/1019   closed   [was filtered]
    TCP/1021   closed   [was filtered]
    TCP/1022   closed   [was filtered]
    TCP/1023   closed   [was filtered]
    TCP/1024   closed   [was filtered]
    TCP/1025   closed   [was filtered]
    TCP/1026   closed   [was filtered]
    TCP/1027   closed   [was filtered]
    TCP/1028   closed   [was filtered]
    TCP/1029   closed   [was filtered]
    TCP/1030   closed   [was filtered]
    TCP/1031   closed   [was filtered]
    TCP/1032   closed   [was filtered]
    TCP/1033   closed   [was filtered]
    TCP/1034   closed   [was filtered]
    TCP/1035   closed   [was filtered]
    TCP/1036   closed   [was filtered]
    TCP/1037   closed   [was filtered]
    TCP/1038   closed   [was filtered]
    TCP/1039   closed   [was filtered]
    TCP/1040   closed   [was filtered]
    TCP/1041   closed   [was filtered]
    TCP/1042   closed   [was filtered]
    TCP/1043   closed   [was filtered]
    TCP/1044   closed   [was filtered]
    TCP/1045   closed   [was filtered]
    TCP/1047   closed   [was filtered]
    TCP/1048   closed   [was filtered]
    TCP/1049   closed   [was filtered]
    TCP/1053   closed   [was filtered]
    TCP/1054   closed   [was filtered]
    TCP/1056   closed   [was filtered]
    TCP/1064   closed   [was filtered]
    TCP/1065   closed   [was filtered]
    TCP/1066   closed   [was filtered]
    TCP/1068   closed   [was filtered]
    TCP/1069   closed   [was filtered]
    TCP/1071   closed   [was filtered]
    TCP/1080   closed   [was filtered]
    TCP/1090   closed   [was filtered]
    TCP/1110   closed   [was filtered]
    TCP/1419   closed   [was filtered]
    TCP/1433   closed   [was filtered]
    TCP/1434   closed   [was filtered]
    TCP/1485   closed   [was filtered]
    TCP/1645   closed   [was filtered]
    TCP/1646   closed   [was filtered]
    TCP/1701   closed   [was filtered]
    TCP/1718   closed   [was filtered]
    TCP/1719   closed   [was filtered]
    TCP/1720   closed   [was filtered]
    TCP/1723   closed   [was filtered]
    TCP/1755   closed   [was filtered]
    TCP/1761   closed   [was filtered]
    TCP/1782   closed   [was filtered]
    TCP/1801   closed   [was filtered]
    TCP/1812   closed   [was filtered]
    TCP/1813   closed   [was filtered]
    TCP/1885   closed   [was filtered]
    TCP/1886   closed   [was filtered]
    TCP/1900   closed   [was filtered]
    TCP/1901   closed   [was filtered]
    TCP/2000   closed   [was filtered]
    TCP/2001   closed   [was filtered]
    TCP/2002   closed   [was filtered]
    TCP/2048   closed   [was filtered]
    TCP/2049   closed   [was filtered]
    TCP/2051   closed   [was filtered]
    TCP/2103   closed   [was filtered]
    TCP/2105   closed   [was filtered]
    TCP/2107   closed   [was filtered]
    TCP/2121   closed   [was filtered]
    TCP/2148   closed   [was filtered]
    TCP/2160   closed   [was filtered]
    TCP/2222   closed   [was filtered]
    TCP/2223   closed   [was filtered]
    TCP/2601   closed   [was filtered]
    TCP/2717   closed   [was filtered]
    TCP/2869   closed   [was filtered]
    TCP/2967   closed   [was filtered]
    TCP/3000   closed   [was filtered]
    TCP/3001   closed   [was filtered]
    TCP/3052   closed   [was filtered]
    TCP/3128   closed   [was filtered]
    TCP/3130   closed   [was filtered]
    TCP/3283   closed   [was filtered]
    TCP/3306   closed   [was filtered]
    TCP/3389   closed   [was filtered]
    TCP/3401   closed   [was filtered]
    TCP/3456   closed   [was filtered]
    TCP/3659   closed   [was filtered]
    TCP/3689   closed   [was filtered]
    TCP/3702   closed   [was filtered]
    TCP/3703   closed   [was filtered]
    TCP/3986   closed   [was filtered]
    TCP/4000   closed   [was filtered]
    TCP/4001   closed   [was filtered]
    TCP/4045   closed   [was filtered]
    TCP/4444   closed   [was filtered]
    TCP/4500   closed   [was filtered]
    TCP/4672   closed   [was filtered]
    TCP/4899   closed   [was filtered]
    TCP/5000   closed   [was filtered]
    TCP/5001   closed   [was filtered]
    TCP/5002   closed   [was filtered]
    TCP/5003   closed   [was filtered]
    TCP/5009   closed   [was filtered]
    TCP/5050   closed   [was filtered]
    TCP/5051   closed   [was filtered]
    TCP/5060   closed   [was filtered]
    TCP/5093   closed   [was filtered]
    TCP/5101   closed   [was filtered]
    TCP/5120   closed   [was filtered]
    TCP/5190   closed   [was filtered]
    TCP/5351   closed   [was filtered]
    TCP/5353   closed   [was filtered]
    TCP/5355   closed   [was filtered]
    TCP/5357   closed   [was filtered]
    TCP/5432   closed   [was filtered]
    TCP/5500   closed   [was filtered]
    TCP/5631   closed   [was filtered]
    TCP/5632   closed   [was filtered]
    TCP/5666   closed   [was filtered]
    TCP/5800   closed   [was filtered]
    TCP/5900   closed   [was filtered]
    TCP/5901   closed   [was filtered]
    TCP/6000   closed   [was filtered]
    TCP/6001   closed   [was filtered]
    TCP/6004   closed   [was filtered]
    TCP/6346   closed   [was filtered]
    TCP/6347   closed   [was filtered]
    TCP/6646   closed   [was filtered]
    TCP/6970   closed   [was filtered]
    TCP/6971   closed   [was filtered]
    TCP/7000   closed   [was filtered]
    TCP/7070   closed   [was filtered]
    TCP/7938   closed   [was filtered]
    TCP/8000   closed   [was filtered]
    TCP/8001   closed   [was filtered]
    TCP/8008   closed   [was filtered]
    TCP/8009   closed   [was filtered]
    TCP/8010   closed   [was filtered]
    TCP/8031   closed   [was filtered]
    TCP/8080   closed   [was filtered]
    TCP/8081   closed   [was filtered]
    TCP/8181   closed   [was filtered]
    TCP/8193   closed   [was filtered]
    TCP/8443   closed   [was filtered]
    TCP/8888   closed   [was filtered]
    TCP/9000   closed   [was filtered]
    TCP/9020   closed   [was filtered]
    TCP/9090   closed   [was filtered]
    TCP/9100   closed   [was filtered]
    TCP/9102   closed   [was filtered]
    TCP/9103   closed   [was filtered]
    TCP/9199   closed   [was filtered]
    TCP/9200   closed   [was filtered]
    TCP/9876   closed   [was filtered]
    TCP/9950   closed   [was filtered]
    TCP/9999   closed   [was filtered]
    TCP/10000  closed   [was filtered]
    TCP/10010  closed   [was filtered]
    TCP/10080  closed   [was filtered]
    TCP/11487  closed   [was filtered]
    TCP/16402  closed   [was filtered]
    TCP/16430  closed   [was filtered]
    TCP/16680  closed   [was filtered]
    TCP/16832  closed   [was filtered]
    TCP/16918  closed   [was filtered]
    TCP/16947  closed   [was filtered]
    TCP/17091  closed   [was filtered]
    TCP/17185  closed   [was filtered]
    TCP/17455  closed   [was filtered]
    TCP/17459  closed   [was filtered]
    TCP/17573  closed   [was filtered]
