Warning: Delays under 1 second may cause unreliable results with UDP scans, defaulting to 1s.
=== Scan Config  ===
Host      : 34.41.254.80:9000
Protocol  : UDP
Ports     : 500 ports
Timeout   : auto (Max[4RTT | 0.5s])
Delay     : 1.0s
===================
[Client] Connected to 34.41.254.80:9000
[Client] Server version: 0.1, IPv6: 2600:1900:4000:1746::
[Client] Handshake complete.
[Client] RTT 62ms — timeout set to 0.50s
[Client] Scan request [302e118f]: inbound UDP, 500 ports

    UDP/32773  open|filtered
    UDP/32774  open|filtered
    UDP/32775  open|filtered
    UDP/32776  open|filtered
    UDP/32777  open|filtered
    UDP/32779  open|filtered
    UDP/32815  open|filtered
    UDP/32818  open|filtered
    UDP/32931  open|filtered
    UDP/33281  open|filtered
    UDP/33354  open|filtered
    UDP/33355  open|filtered
    UDP/33744  open|filtered
    UDP/34125  open|filtered
    UDP/34555  open|filtered
    UDP/34861  open|filtered
    UDP/34862  open|filtered
    UDP/34892  open|filtered
    UDP/35438  open|filtered
    UDP/35777  open|filtered
    UDP/36206  open|filtered
    UDP/37444  open|filtered
    UDP/38037  open|filtered
    UDP/38293  open|filtered
    UDP/39213  open|filtered
    UDP/39888  open|filtered
    UDP/40116  open|filtered
    UDP/40441  open|filtered
    UDP/40708  open|filtered
    UDP/40732  open|filtered
    UDP/40915  open|filtered
    UDP/41058  open|filtered
    UDP/41081  open|filtered
    UDP/41370  open|filtered
    UDP/41524  open|filtered
    UDP/42172  open|filtered
    UDP/42508  open|filtered
    UDP/44968  open|filtered
    UDP/45441  open|filtered
    UDP/47624  open|filtered
    UDP/49152  open|filtered
    UDP/49153  open|filtered
    UDP/49154  open|filtered
    UDP/49155  open|filtered
    UDP/49156  open|filtered
    UDP/49157  open|filtered
    UDP/49158  open|filtered
    UDP/49159  open|filtered
    UDP/49160  open|filtered
    UDP/49161  open|filtered
    UDP/49162  open|filtered
    UDP/49163  open|filtered
    UDP/49165  open|filtered
    UDP/49166  open|filtered
    UDP/49167  open|filtered
    UDP/49168  open|filtered
    UDP/49169  open|filtered
    UDP/49170  open|filtered
    UDP/49171  open|filtered
    UDP/49172  open|filtered
    UDP/49173  open|filtered
    UDP/49174  open|filtered
    UDP/49175  open|filtered
    UDP/49176  open|filtered
    UDP/49179  open|filtered
    UDP/49180  open|filtered
    UDP/49181  open|filtered
    UDP/49182  open|filtered
    UDP/49184  open|filtered
    UDP/49185  open|filtered
    UDP/49186  open|filtered
    UDP/49187  open|filtered
    UDP/49188  open|filtered
    UDP/49189  open|filtered
    UDP/49190  open|filtered
    UDP/49191  open|filtered
    UDP/49192  open|filtered
    UDP/49193  open|filtered
    UDP/49194  open|filtered
    UDP/49195  open|filtered
    UDP/49196  open|filtered
    UDP/49197  open|filtered
    UDP/49198  open|filtered
    UDP/49199  open|filtered
    UDP/49200  open|filtered
    UDP/49201  open|filtered
    UDP/49202  open|filtered
    UDP/49204  open|filtered
    UDP/49205  open|filtered
    UDP/49207  open|filtered
    UDP/49208  open|filtered
    UDP/49209  open|filtered
    UDP/49210  open|filtered
    UDP/49211  open|filtered
    UDP/49212  open|filtered
    UDP/49213  open|filtered
    UDP/49215  open|filtered
    UDP/49503  open|filtered
    UDP/50612  open|filtered
    UDP/51717  open|filtered
    UDP/52225  open|filtered
    UDP/52503  open|filtered
    UDP/53571  open|filtered
    UDP/54281  open|filtered
    UDP/54321  open|filtered
    UDP/56141  open|filtered
    UDP/58002  open|filtered
    UDP/58631  open|filtered
    UDP/58640  open|filtered
    UDP/61370  open|filtered
    UDP/62287  open|filtered
    UDP/63555  open|filtered
    UDP/64513  open|filtered
    UDP/65024  open|filtered
[Client] Disconnected.
