=== Scan Config  ===
Host      : 34.41.254.80:9000
Protocol  : TCP
Ports     : 200 ports
Timeout   : auto (Max[4RTT | 0.5s])
Delay     : 0.1s
IP option : all
IPv6 Test : Enabled
===================
[Client] Connected to 34.41.254.80:9000
[Client] Server version: 0.1, IPv6: 2600:1900:4000:1746::
[Client] Handshake complete.
[Client] RTT 164ms — timeout set to 0.65s
[Client] IPv6 test: skipped — no public IPv6 on this machine.
[Client] Scan request [3b187b16]: inbound TCP, 200 ports

  Scan [3b187b16] — inbound:

  Baseline (no IP options):
    TCP/996    closed   [was filtered]
    TCP/997    closed   [was filtered]
    TCP/998    closed   [was filtered]
    TCP/999    closed   [was filtered]
    TCP/1001   closed   [was filtered]
    TCP/1022   closed   [was filtered]
    TCP/1023   closed   [was filtered]
    TCP/1025   closed   [was filtered]
    TCP/1026   closed   [was filtered]
    TCP/1027   closed   [was filtered]
    TCP/1028   closed   [was filtered]
    TCP/1029   closed   [was filtered]
    TCP/1030   closed   [was filtered]
    TCP/1031   closed   [was filtered]
    TCP/1032   closed   [was filtered]
    TCP/1034   closed   [was filtered]
    TCP/1041   closed   [was filtered]
    TCP/1045   closed   [was filtered]
    TCP/1068   closed   [was filtered]
    TCP/1110   closed   [was filtered]
    TCP/1433   closed   [was filtered]
    TCP/1434   closed   [was filtered]
    TCP/1645   closed   [was filtered]
    TCP/1646   closed   [was filtered]
    TCP/1701   closed   [was filtered]
    TCP/1718   closed   [was filtered]
    TCP/1719   closed   [was filtered]
    TCP/1720   closed   [was filtered]
    TCP/1723   closed   [was filtered]
    TCP/1782   closed   [was filtered]
    TCP/1812   closed   [was filtered]
    TCP/1813   closed   [was filtered]
    TCP/1900   closed   [was filtered]
    TCP/2000   closed   [was filtered]
    TCP/2001   closed   [was filtered]
    TCP/2048   closed   [was filtered]
    TCP/2049   closed   [was filtered]
    TCP/2121   closed   [was filtered]
    TCP/2148   closed   [was filtered]
    TCP/2222   closed   [was filtered]
    TCP/2223   closed   [was filtered]
    TCP/2967   closed   [was filtered]
    TCP/3130   closed   [was filtered]
    TCP/3283   closed   [was filtered]
    TCP/3306   closed   [was filtered]
    TCP/3389   closed   [was filtered]
    TCP/3456   closed   [was filtered]
    TCP/3659   closed   [was filtered]
    TCP/3703   closed   [was filtered]
    TCP/4000   closed   [was filtered]
    TCP/4045   closed   [was filtered]
    TCP/4444   closed   [was filtered]
    TCP/4500   closed   [was filtered]
    TCP/4672   closed   [was filtered]
    TCP/5000   closed   [was filtered]
    TCP/5001   closed   [was filtered]
    TCP/5060   closed   [was filtered]
    TCP/5101   closed   [was filtered]
    TCP/5353   closed   [was filtered]
    TCP/5355   closed   [was filtered]
    TCP/5357   closed   [was filtered]
    TCP/5631   closed   [was filtered]
    TCP/5632   closed   [was filtered]
    TCP/5666   closed   [was filtered]
    TCP/5800   closed   [was filtered]
    TCP/5900   closed   [was filtered]
