=== Scan Config  ===
Host      : 34.41.254.80:9000
Protocol  : TCP
Ports     : 500 ports
Timeout   : auto (Max[4RTT | 0.5s])
Delay     : 0.1s
IP option : all
IPv6 Test : Enabled
===================
[Client] Connected to 34.41.254.80:9000
[Client] Server version: 0.1, IPv6: 2600:1900:4000:1746::
[Client] Handshake complete.
[Client] RTT 59ms — timeout set to 0.50s
[Client] IPv6 test: skipped — no public IPv6 on this machine.
[Client] Scan request [1bb104a5]: inbound TCP, 500 ports
    
  Scan [1bb104a5] — inbound:

  Baseline (no IP options):
    TCP/33354  closed
    TCP/33355  closed
    TCP/33744  closed
    TCP/34125  closed
    TCP/34555  closed
    TCP/34861  closed
    TCP/34862  closed
    TCP/34892  closed
    TCP/35438  closed
    TCP/35777  closed
    TCP/36206  closed
    TCP/37444  closed
    TCP/38037  closed
    TCP/38293  closed
    TCP/39213  closed
    TCP/39888  closed
    TCP/40116  closed
    TCP/40441  closed
    TCP/40708  closed
    TCP/40732  closed
    TCP/40915  closed
    TCP/41058  closed
    TCP/41081  closed
    TCP/41370  closed
    TCP/41524  closed
    TCP/42172  closed
    TCP/42508  closed
    TCP/44968  closed
    TCP/45441  closed
    TCP/47624  closed
    TCP/49152  closed
    TCP/49153  closed
    TCP/49154  closed
    TCP/49155  closed
    TCP/49156  closed
    TCP/49157  closed
    TCP/49158  closed
    TCP/49159  closed
    TCP/49160  closed
    TCP/49161  closed
    TCP/49162  closed
    TCP/49163  closed
    TCP/49165  closed
    TCP/49166  closed
    TCP/49167  closed
    TCP/49168  closed
    TCP/49169  closed
    TCP/49170  closed
    TCP/49171  closed
    TCP/49172  closed
    TCP/49173  closed
    TCP/49174  closed
    TCP/49175  closed
    TCP/49176  closed
    TCP/49179  closed
    TCP/49180  closed
    TCP/49181  closed
    TCP/49182  closed
    TCP/49184  closed
    TCP/49185  closed
    TCP/49186  closed
    TCP/49187  closed
    TCP/49188  closed
    TCP/49189  closed
    TCP/49190  closed
    TCP/49191  closed
    TCP/49192  closed
    TCP/49193  closed
    TCP/49194  closed
    TCP/49195  closed
    TCP/49196  closed
    TCP/49197  closed
    TCP/49198  closed
    TCP/49199  closed
    TCP/49200  closed
    TCP/49201  closed
    TCP/49202  closed
    TCP/49204  closed
    TCP/49205  closed
    TCP/49207  closed
    TCP/49208  closed
    TCP/49209  closed
    TCP/49210  closed
    TCP/49211  closed
    TCP/49212  closed
    TCP/49213  closed
    TCP/49215  closed
    TCP/49503  closed
    TCP/50612  closed
    TCP/51717  closed
    TCP/52225  closed
    TCP/52503  closed
    TCP/53571  closed
    TCP/54281  closed
    TCP/54321  closed
    TCP/56141  closed
    TCP/58002  closed
    TCP/58631  closed
    TCP/58640  closed
    TCP/61370  closed
    TCP/62287  closed
    TCP/63555  closed
    TCP/64513  closed
    TCP/65024  closed

  With record_route:
    TCP/1      closed
    TCP/7      closed
    TCP/9      filtered   [was closed]
    TCP/13     filtered   [was closed]
    TCP/17     closed
    TCP/19     filtered   [was closed]
    TCP/21     filtered   [was closed]
    TCP/22     filtered
    TCP/23     filtered   [was closed]
    TCP/25     filtered
    TCP/26     closed
    TCP/37     closed
    TCP/38     filtered   [was closed]
    TCP/42     filtered   [was closed]
    TCP/49     closed
    TCP/53     closed
    TCP/67     closed
    TCP/68     closed
    TCP/69     filtered   [was closed]
    TCP/79     filtered   [was closed]
    TCP/80     filtered
    TCP/81     filtered   [was closed]
    TCP/82     closed
    TCP/88     filtered   [was closed]
    TCP/100    filtered   [was closed]
    TCP/106    filtered   [was closed]
    TCP/110    filtered   [was closed]
    TCP/111    filtered   [was closed]
    TCP/112    closed
    TCP/113    filtered   [was closed]
    TCP/119    filtered   [was closed]
    TCP/120    filtered   [was closed]
    TCP/123    closed
    TCP/135    closed
    TCP/136    filtered   [was closed]
    TCP/137    filtered   [was closed]
    TCP/138    closed
    TCP/139    filtered   [was closed]
    TCP/143    closed
    TCP/144    closed
    TCP/158    filtered   [was closed]
    TCP/161    closed
    TCP/162    closed
    TCP/177    filtered   [was closed]
    TCP/179    filtered
    TCP/192    filtered   [was closed]
    TCP/199    filtered   [was closed]
    TCP/217    filtered   [was closed]
    TCP/255    closed
    TCP/363    closed
    TCP/389    closed
    TCP/407    closed
    TCP/427    filtered   [was closed]
    TCP/434    closed
    TCP/443    closed   [was filtered]
    TCP/444    closed
    TCP/445    filtered   [was closed]
    TCP/464    filtered   [was closed]
    TCP/465    closed
    TCP/497    closed
    TCP/500    closed
    TCP/512    closed
    TCP/513    closed
    TCP/514    filtered   [was closed]
    TCP/515    closed
    TCP/517    filtered   [was closed]
    TCP/518    filtered   [was closed]
    TCP/520    filtered   [was closed]
    TCP/539    filtered   [was closed]
    TCP/543    closed
    TCP/544    filtered   [was closed]
    TCP/548    filtered   [was closed]
    TCP/554    closed
    TCP/587    closed
    TCP/593    closed
    TCP/623    closed
    TCP/626    closed
    TCP/631    closed
    TCP/636    filtered   [was closed]
    TCP/643    closed
    TCP/646    closed
    TCP/664    filtered   [was closed]
    TCP/682    filtered   [was closed]
    TCP/683    filtered   [was closed]
    TCP/684    filtered   [was closed]
    TCP/685    filtered   [was closed]
    TCP/686    filtered   [was closed]
    TCP/687    filtered   [was closed]
    TCP/688    filtered   [was closed]
    TCP/767    filtered   [was closed]
    TCP/775    filtered   [was closed]
    TCP/776    filtered   [was closed]
    TCP/780    closed
    TCP/781    closed
    TCP/782    closed
    TCP/786    filtered   [was closed]
    TCP/800    filtered   [was closed]
    TCP/808    closed
    TCP/829    filtered   [was closed]
    TCP/873    filtered   [was closed]
    TCP/902    filtered   [was closed]
    TCP/959    filtered   [was closed]
    TCP/983    closed
    TCP/989    closed
    TCP/990    filtered   [was closed]
    TCP/993    filtered   [was closed]
    TCP/995    closed
    TCP/996    closed
    TCP/997    closed
    TCP/998    closed
    TCP/999    filtered   [was closed]
    TCP/1000   filtered   [was closed]
    TCP/1001   closed
    TCP/1008   filtered   [was closed]
    TCP/1012   closed
    TCP/1014   closed
    TCP/1019   filtered   [was closed]
    TCP/1021   closed
    TCP/1022   closed
    TCP/1023   closed
    TCP/1024   filtered   [was closed]
    TCP/1025   filtered   [was closed]
    TCP/1026   closed
    TCP/1027   filtered   [was closed]
    TCP/1028   closed
    TCP/1029   closed
    TCP/1030   closed
    TCP/1031   closed
    TCP/1032   filtered   [was closed]
    TCP/1033   closed
    TCP/1034   closed
    TCP/1035   closed
    TCP/1036   filtered   [was closed]
    TCP/1037   filtered   [was closed]
    TCP/1038   closed
    TCP/1039   filtered   [was closed]
    TCP/1040   closed
    TCP/1041   filtered   [was closed]
    TCP/1042   filtered   [was closed]
    TCP/1043   filtered   [was closed]
    TCP/1044   filtered   [was closed]
    TCP/1045   closed
    TCP/1047   filtered   [was closed]
    TCP/1048   filtered   [was closed]
    TCP/1049   closed
    TCP/1053   closed
    TCP/1054   closed
    TCP/1056   closed
    TCP/1064   filtered   [was closed]
    TCP/1065   filtered   [was closed]
    TCP/1066   closed
    TCP/1068   closed
    TCP/1069   closed
    TCP/1071   closed
    TCP/1080   filtered   [was closed]
    TCP/1090   filtered   [was closed]
    TCP/1110   filtered   [was closed]
    TCP/1419   filtered   [was closed]
    TCP/1433   closed
    TCP/1434   closed
